book_date,open,high,low,close,volume,dividends,ticker,average_price,daily_return_percentage,growth,cumulative_growth,volatility_30days,dividend_yield_percentage,52week_high,52week_low,ma50d,ma200d,vwap
2020-01-02,41.0723,41.0761,40.8072,40.989,1896000,0.0,CM.TO,40.9862,0.0,1.0,0.0,,0.0,41.0761,40.8072,40.989,40.989,40.9862
2020-01-03,40.7164,40.8679,40.58,40.8527,1918600,0.0,CM.TO,40.7543,-0.3325,0.9967,-0.0033,0.2351,0.0,41.0761,40.58,40.9209,40.9209,40.8696
2020-01-06,40.6595,40.8603,40.6027,40.7277,3684400,0.0,CM.TO,40.7126,-0.306,0.9969,-0.0064,0.1848,0.0,41.0761,40.58,40.8565,40.8565,40.7924
2020-01-07,40.7656,40.9549,40.6255,40.6482,1965000,0.0,CM.TO,40.7486,-0.1952,0.998,-0.0084,0.1511,0.0,41.0761,40.58,40.8044,40.8044,40.7833
2020-01-08,40.7277,41.0155,40.7277,40.883,3719600,0.0,CM.TO,40.8385,0.5776,1.0058,-0.0026,0.3751,0.0,41.0761,40.58,40.8201,40.8201,40.7989
2020-01-09,41.0686,41.239,40.7618,40.7618,3672400,0.0,CM.TO,40.9578,-0.2965,0.997,-0.0056,0.3501,0.0,41.239,40.58,40.8104,40.8104,40.8335
2020-01-10,40.7618,40.9436,40.6785,40.8224,2924800,0.0,CM.TO,40.8016,0.1487,1.0015,-0.0041,0.3323,0.0,41.239,40.58,40.8121,40.8121,40.8288
2020-01-13,40.83,40.9625,40.6179,40.9587,7989200,0.0,CM.TO,40.8423,0.3339,1.0033,-0.0008,0.3374,0.0,41.239,40.58,40.8304,40.8304,40.8327
2020-01-14,41.0421,41.0458,40.7164,40.7315,3132600,0.0,CM.TO,40.884,-0.5547,0.9945,-0.0063,0.3643,0.0,41.239,40.58,40.8194,40.8194,40.8379
2020-01-15,40.7126,41.0118,40.6558,40.9777,2186200,0.0,CM.TO,40.8395,0.6044,1.006,-0.0004,0.4042,0.0,41.239,40.58,40.8353,40.8353,40.838
2020-01-16,41.0648,41.1746,41.0155,41.1292,2334800,0.0,CM.TO,41.096,0.3697,1.0037,0.0033,0.3995,0.0,41.239,40.58,40.862,40.862,40.855
2020-01-17,41.2352,41.3375,41.0799,41.1935,2500600,0.0,CM.TO,41.2115,0.1563,1.0016,0.0049,0.3826,0.0,41.3375,40.58,40.8896,40.8896,40.8785
2020-01-20,41.1367,41.3564,41.0989,41.3564,2371400,0.0,CM.TO,41.2371,0.3955,1.004,0.009,0.3792,0.0,41.3564,40.58,40.9255,40.9255,40.8996
2020-01-21,41.2807,41.3526,40.9284,40.955,2930200,0.0,CM.TO,41.1292,-0.9706,0.9903,-0.0008,0.4582,0.0,41.3564,40.58,40.9276,40.9276,40.9152
2020-01-22,40.9436,41.2958,40.8527,41.1746,2343200,0.0,CM.TO,41.0667,0.5362,1.0054,0.0046,0.4631,0.0,41.3564,40.58,40.9441,40.9441,40.923
2020-01-23,41.1254,41.2655,40.9587,41.2655,1811800,0.0,CM.TO,41.1538,0.2208,1.0022,0.0068,0.4499,0.0,41.3564,40.58,40.9642,40.9642,40.9318
2020-01-24,41.2769,41.364,41.1292,41.2617,3184600,0.0,CM.TO,41.2579,-0.0092,0.9999,0.0067,0.4358,0.0,41.364,40.58,40.9817,40.9817,40.9523
2020-01-27,40.9019,41.2125,40.83,41.1898,4760200,0.0,CM.TO,41.0336,-0.1743,0.9983,0.005,0.4258,0.0,41.364,40.58,40.9932,40.9932,40.9593
2020-01-28,41.2466,41.4587,41.1822,41.4511,3144600,0.0,CM.TO,41.3346,0.6344,1.0063,0.0113,0.4366,0.0,41.4587,40.58,41.0173,41.0173,40.9795
2020-01-29,41.47,41.6745,41.3223,41.3791,2603400,0.0,CM.TO,41.4615,-0.1737,0.9983,0.0096,0.4281,0.0,41.6745,40.58,41.0354,41.0354,41.0001
2020-01-30,41.2541,41.4208,41.0837,41.3299,1791000,0.0,CM.TO,41.2721,-0.1189,0.9988,0.0084,0.4189,0.0,41.6745,40.58,41.0495,41.0495,41.0078
2020-01-31,41.2049,41.2087,40.7429,40.8716,2942400,0.0,CM.TO,41.007,-1.1089,0.9889,-0.0028,0.4766,0.0,41.6745,40.58,41.0414,41.0414,41.0078
2020-02-03,40.9512,41.1595,40.8186,40.8224,2330200,0.0,CM.TO,40.9379,-0.1204,0.9988,-0.004,0.4771,0.0,41.6745,40.58,41.0318,41.0318,41.0054
2020-02-04,41.2087,41.3753,40.9928,41.0155,3070800,0.0,CM.TO,41.1481,0.473,1.0047,0.0006,0.4827,0.0,41.6745,40.58,41.0312,41.0312,41.0115
2020-02-05,41.2806,41.4927,41.2125,41.3715,2754000,0.0,CM.TO,41.3393,0.868,1.0087,0.0094,0.5092,0.0,41.6745,40.58,41.0448,41.0448,41.0237
2020-02-06,41.4889,41.754,41.4889,41.754,3892200,0.0,CM.TO,41.6214,0.9245,1.0092,0.0186,0.5364,0.0,41.754,40.58,41.0721,41.0721,41.0536
2020-02-07,41.6215,41.7578,41.5306,41.6821,1730200,0.0,CM.TO,41.648,-0.1722,0.9983,0.0169,0.5299,0.0,41.7578,40.58,41.0947,41.0947,41.0665
2020-02-10,41.5647,41.8071,41.5306,41.6859,1713000,0.0,CM.TO,41.6471,0.0091,1.0001,0.017,0.5233,0.0,41.8071,40.58,41.1158,41.1158,41.0788
2020-02-11,41.7806,41.9586,41.7692,41.8525,2877600,0.0,CM.TO,41.8402,0.3997,1.004,0.0211,0.5271,0.0,41.9586,40.58,41.1412,41.1412,41.1048
2020-02-12,41.9434,42.0305,41.7881,41.8563,2568600,0.0,CM.TO,41.9046,0.0091,1.0001,0.0212,0.5252,0.0,42.0305,40.58,41.165,41.165,41.1285
2020-02-13,41.6897,41.9472,41.6669,41.8942,1636800,0.0,CM.TO,41.7995,0.0905,1.0009,0.0221,0.5045,0.0,42.0305,40.58,41.1885,41.1885,41.1409
2020-02-14,41.8904,42.004,41.6291,41.6783,1678400,0.0,CM.TO,41.8005,-0.5153,0.9948,0.0168,0.5107,0.0,42.0305,40.58,41.2038,41.2038,41.1532
2020-02-18,41.5761,41.6064,41.1632,41.3299,5271000,0.0,CM.TO,41.4189,-0.8359,0.9916,0.0082,0.5417,0.0,42.0305,40.58,41.2077,41.2077,41.1679
2020-02-19,41.3753,41.5268,41.2655,41.2958,2138000,0.0,CM.TO,41.3659,-0.0825,0.9992,0.0074,0.5413,0.0,42.0305,40.58,41.2102,41.2102,41.1722
2020-02-20,41.2882,41.5761,41.1595,41.3715,2866200,0.0,CM.TO,41.3488,0.1833,1.0018,0.0093,0.536,0.0,42.0305,40.58,41.2149,41.2149,41.1773
2020-02-21,41.3261,41.4056,41.1632,41.345,2105400,0.0,CM.TO,41.31,-0.0641,0.9994,0.0086,0.4905,0.0,42.0305,40.58,41.2185,41.2185,41.18
2020-02-24,40.8868,40.9928,40.633,40.7126,4124800,0.0,CM.TO,40.8063,-1.5296,0.9847,-0.0068,0.5812,0.0,42.0305,40.58,41.2048,41.2048,41.1655
2020-02-25,40.7126,40.7732,39.8264,40.1521,4914800,0.0,CM.TO,40.3661,-1.3767,0.9862,-0.0205,0.6424,0.0,42.0305,39.8264,41.1771,41.1771,41.1303
2020-02-26,40.0953,40.9171,40.0687,40.5497,5219000,0.0,CM.TO,40.4077,0.9902,1.0099,-0.0108,0.6847,0.0,42.0305,39.8264,41.161,41.161,41.098
2020-02-27,40.1407,40.3641,39.406,39.6673,4420800,0.0,CM.TO,39.8945,-2.1761,0.9782,-0.0324,0.8183,0.0,42.0305,39.406,41.1237,41.1237,41.0541
2020-02-28,38.9894,39.0879,38.2054,38.6902,8114800,0.0,CM.TO,38.7432,-2.4632,0.9754,-0.0562,0.9322,0.0,42.0305,38.2054,41.0643,41.0643,40.909
2020-03-02,38.444,39.2962,38.2812,39.175,5788600,0.0,CM.TO,38.7991,1.253,1.0125,-0.0444,0.9899,0.0,42.0305,38.2054,41.0193,41.0193,40.8185
2020-03-03,39.3075,39.4666,38.4402,38.4781,8183400,0.0,CM.TO,38.9231,-1.7789,0.9822,-0.0614,1.0418,0.0,42.0305,38.2054,40.9602,40.9602,40.7102
2020-03-04,38.8833,39.2999,38.4743,39.2924,5277000,0.0,CM.TO,38.9875,2.1163,1.0212,-0.0415,1.147,0.0,42.0305,38.2054,40.9223,40.9223,40.649
2020-03-05,38.6826,38.9439,38.1259,38.4289,5655200,0.0,CM.TO,38.5453,-2.1976,0.978,-0.0626,1.2253,0.0,42.0305,38.1259,40.8669,40.8669,40.5718
2020-03-06,37.8722,37.9441,37.3571,37.4897,7264000,0.0,CM.TO,37.6658,-2.444,0.9756,-0.0854,1.2972,0.0,42.0305,37.3571,40.7935,40.7935,40.441
2020-03-09,35.0696,35.918,32.2481,32.3655,12732200,0.0,CM.TO,33.9003,-13.6683,0.8633,-0.2105,3.0875,0.0,42.0305,32.2481,40.6142,40.6142,39.9628
2020-03-10,34.0849,34.0849,32.411,33.3919,10156400,0.0,CM.TO,33.4932,3.1713,1.0317,-0.1854,3.1916,0.0,42.0305,32.2481,40.4637,40.4637,39.6062
2020-03-11,33.0435,33.3389,32.3466,32.4489,9217400,0.0,CM.TO,32.7945,-2.824,0.9718,-0.2084,3.2106,0.0,42.0305,32.2481,40.3001,40.3001,39.2818
2020-03-12,30.2977,30.8204,26.5219,26.8892,15594200,0.0,CM.TO,28.6323,-17.1337,0.8287,-0.344,4.6786,0.0,42.0305,26.5219,40.0319,40.0319,38.4875
2020-03-13,28.7222,31.9868,28.7222,31.9868,13321400,0.0,CM.TO,30.3545,18.9578,1.1896,-0.2196,6.4447,0.0,42.0305,26.5219,39.8742,39.8742,38.0004
2020-03-16,28.0254,30.6537,27.7035,29.3433,9225200,0.0,CM.TO,28.9315,-8.2643,0.9174,-0.2841,6.6211,0.0,42.0305,26.5219,39.6458,39.6717,37.6393
